username,repo_name,stars,repo_url
bitwarden,server,12800,https://github.com/bitwarden/server
dotnet,AspNetCore.Docs,11800,https://github.com/dotnet/AspNetCore.Docs
aspnetboilerplate,aspnetboilerplate,11200,https://github.com/aspnetboilerplate/aspnetboilerplate
abpframework,abp,10100,https://github.com/abpframework/abp
nopSolutions,nopCommerce,8200,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,6800,https://github.com/ElectronNET/Electron.NET
thangchung,clean-code-dotnet,6200,https://github.com/thangchung/clean-code-dotnet
RicoSuter,NSwag,6000,https://github.com/RicoSuter/NSwag
FastEndpoints,FastEndpoints,3000,https://github.com/FastEndpoints/FastEndpoints
dotnet,aspnet-api-versioning,2800,https://github.com/dotnet/aspnet-api-versioning
smartstore,SmartStoreNET,2600,https://github.com/smartstore/SmartStoreNET
JimBobSquarePants,ImageProcessor,2500,https://github.com/JimBobSquarePants/ImageProcessor
serenity-is,Serenity,2400,https://github.com/serenity-is/Serenity
loic-sharma,BaGet,2400,https://github.com/loic-sharma/BaGet
mjebrahimi,Awesome-Microservices-DotNet,2400,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
MarimerLLC,csla,1100,https://github.com/MarimerLLC/csla
antonioCoco,SharPyShell,786,https://github.com/antonioCoco/SharPyShell
smartstore,Smartstore,727,https://github.com/smartstore/Smartstore
